evohdcg_cg_history,evohdcg_hd_history,evohdcg_hdcg_history
75523,132157,207680
75644,132306,207950
75842,132463,208305
75617,132409,208026
75582,132522,208104
75709,132399,208108
81833,137762,219595
81900,138115,220015
81819,138064,219883
81725,137713,219438
81808,137936,219744
81789,138182,219971
81723,138047,219770
81820,138090,219910
81952,138038,219990
81923,138348,220271
82049,137912,219961
81888,138293,220181
81591,138709,220300
81663,138670,220333
81593,138655,220248
81760,138704,220464
81524,138491,220015
81499,138531,220030
81563,138719,220282
81524,138786,220310
81657,138622,220279
81615,139069,220684
81723,139030,220753
81655,139026,220681
81738,139121,220859
81792,139068,220860
81841,138953,220794
81635,139198,220833
81574,139046,220620
81645,139078,220723
81469,139203,220672
81567,139177,220744
81759,139091,220850
81742,139075,220817
81597,139197,220794
81889,139287,221176
81767,139058,220825
81728,138968,220696
81622,138943,220565
81511,139029,220540
81574,139075,220649
81552,138790,220342
81729,139123,220852
81764,139120,220884
81564,138999,220563
81594,139148,220742
81662,139142,220804
81669,139192,220861
81428,139428,220856
81474,139332,220806
81459,139094,220553
81364,139238,220602
81458,139217,220675
81219,139308,220527
81732,139029,220761
81449,139302,220751
81610,138982,220592
81641,139219,220860
81510,139006,220516
81397,139126,220523
81414,139417,220831
80202,141940,222142
80217,142092,222309
80281,142041,222322
80284,142009,222293
80193,141941,222134
80195,141855,222050
80185,141867,222052
80149,142059,222208
80223,142049,222272
80225,142253,222478
80147,142100,222247
80065,142203,222268
80107,142810,222917
80278,142938,223216
80318,142761,223079
80245,142812,223057
80245,142981,223226
80124,142979,223103
80133,142965,223098
80188,143061,223249
80268,142978,223246
80168,143096,223264
80194,142968,223162
80222,143083,223305
80118,143052,223170
80176,143062,223238
80189,142992,223181
80231,143075,223306
80218,142923,223141
80356,142859,223215
80264,142900,223164
80164,143140,223304
80048,142970,223018
