evohd_cg_history,evohd_hd_history,evohd_hdcg_history
78128,127919,206047
78384,127890,206274
78113,128080,206193
78229,128013,206242
78517,129134,207651
78565,129168,207733
78536,129399,207935
78193,128562,206755
78412,129113,207525
78557,129208,207765
78693,129493,208186
78554,129139,207693
78395,129066,207461
78532,128959,207491
79402,134936,214338
79149,134409,213558
79320,134832,214152
79372,134400,213772
79581,134827,214408
75425,134923,210348
79725,136175,215900
79642,136077,215719
79640,135734,215374
79794,136161,215955
79711,136252,215963
79731,136444,216175
79682,136214,215896
79877,136492,216369
79649,136449,216098
77372,136825,214197
77592,137559,215151
77625,137403,215028
77550,137381,214931
77711,137256,214967
77539,137399,214938
77383,137415,214798
77530,137351,214881
77536,137300,214836
77700,137197,214897
77605,137271,214876
77522,137159,214681
77614,137470,215084
78467,138042,216509
78178,138030,216208
77313,141382,218695
77617,141600,219217
77852,143040,220892
77749,142997,220746
77782,143175,220957
77828,143425,221253
77888,143358,221246
77730,143260,220990
77752,143396,221148
77691,143323,221014
77747,143358,221105
77731,143490,221221
77799,143379,221178
77866,143439,221305
77968,143334,221302
77870,143343,221213
77724,143399,221123
77628,143462,221090
77766,143210,220976
77939,143330,221269
77630,143531,221161
77819,143393,221212
77767,143433,221200
77697,143258,220955
77689,143331,221020
77824,143456,221280
77637,143452,221089
77705,143348,221053
77847,143316,221163
77818,143387,221205
77939,143410,221349
77952,143514,221466
78037,143489,221526
78044,143501,221545
77868,143515,221383
78071,143504,221575
77840,143467,221307
78028,143669,221697
77962,143551,221513
78039,143592,221631
78135,143675,221810
77971,143661,221632
77995,143650,221645
77867,143545,221412
78112,143599,221711
77924,143542,221466
77840,143622,221462
78044,143705,221749
77896,143598,221494
77977,143703,221680
78089,143678,221767
78114,143714,221828
78103,143646,221749
77907,143610,221517
77805,143596,221401
78049,143494,221543
