evocg_cg_history,evocg_hd_history,evocg_hdcg_history
73960,119337,193297
74046,119450,193496
74089,119262,193351
76461,137051,213512
76546,137546,214092
76730,137466,214196
76576,136938,213514
76359,136940,213299
76416,136337,212753
76691,124753,201444
76594,124051,200645
76657,124304,200961
76649,124187,200836
76786,124164,200950
76820,124645,201465
81199,135732,216931
81441,135863,217304
81512,135731,217243
81331,135871,217202
81416,136093,217509
81476,136091,217567
81404,136056,217460
81414,135884,217298
81346,135796,217142
81432,135951,217383
81619,135879,217498
81592,135698,217290
81462,135676,217138
81689,135500,217189
81898,134155,216053
81739,134070,215809
81639,134154,215793
81765,133973,215738
81894,134351,216245
81917,134288,216205
81921,134376,216297
81701,134315,216016
81786,133963,215749
81772,134106,215878
81999,134244,216243
81795,134332,216127
81771,134124,215895
81856,134167,216023
82161,137233,219394
82242,137179,219421
82359,137196,219555
82286,137183,219469
82203,137349,219552
82370,137449,219819
82153,137175,219328
82381,137340,219721
82222,137093,219315
82254,137240,219494
82187,137163,219350
82214,137286,219500
82300,137270,219570
82368,137222,219590
82330,137136,219466
82318,137117,219435
82225,137266,219491
82317,137349,219666
82414,137152,219566
82271,137069,219340
82309,137139,219448
82263,137134,219397
82342,137221,219563
82419,137692,220111
82400,137692,220092
82376,137861,220237
82215,136969,219184
82407,137677,220084
82319,139172,221491
82372,139121,221493
82437,139195,221632
82371,139011,221382
82413,139338,221751
82520,139049,221569
82508,137635,220143
82492,139068,221560
82360,137767,220127
82437,137798,220235
82417,137678,220095
82421,139083,221504
82386,137771,220157
82403,139272,221675
82344,138945,221289
82043,137872,219915
82247,137998,220245
82158,137864,220022
82388,139273,221661
82407,138427,220834
82364,138445,220809
82275,139134,221409
82382,139101,221483
82375,139269,221644
82430,139106,221536
82245,139191,221436
82402,138977,221379
82364,138607,220971
82375,138549,220924
