evocg_cg_history,evocg_hd_history,evocg_hdcg_history
46322,72088,118410
46301,71673,117974
80878,132538,213416
80864,132500,213364
80816,132662,213478
80874,132564,213438
81106,135281,216387
81194,135098,216292
80992,135329,216321
81121,135306,216427
82116,136693,218809
82084,136479,218563
82153,136457,218610
82098,136505,218603
82131,136374,218505
82106,136551,218657
82053,136307,218360
82134,136520,218654
82070,136598,218668
82202,136399,218601
82080,136679,218759
81929,136371,218300
82017,136487,218504
82132,136579,218711
82203,136291,218494
82144,136756,218900
82147,136434,218581
82068,136678,218746
82105,136627,218732
82083,136827,218910
82126,136604,218730
82016,136680,218696
82173,136424,218597
82104,136537,218641
82113,136409,218522
82092,136661,218753
82145,136620,218765
82085,136597,218682
82079,136593,218672
82254,136622,218876
82054,136550,218604
82010,136674,218684
81878,136361,218239
81966,136579,218545
81873,136537,218410
82159,136422,218581
82146,136456,218602
82116,136628,218744
82095,136330,218425
82149,136564,218713
82199,136589,218788
82156,136473,218629
82188,136499,218687
82117,136776,218893
82195,136867,219062
82329,136537,218866
82126,136647,218773
82063,136632,218695
82085,136208,218293
82121,136696,218817
82118,136335,218453
82030,136589,218619
82113,136575,218688
82030,136534,218564
82064,136438,218502
82225,136615,218840
82148,136559,218707
82296,138336,220632
82190,136686,218876
82163,138298,220461
82215,138020,220235
82228,138095,220323
82164,138225,220389
82148,137993,220141
82093,138163,220256
82139,138045,220184
82102,138051,220153
82207,137864,220071
82249,138019,220268
82164,137985,220149
82166,138017,220183
82213,137898,220111
82181,137964,220145
82204,138226,220430
82235,138143,220378
82220,137862,220082
82040,138078,220118
82095,138111,220206
82196,138060,220256
82152,138056,220208
82298,138260,220558
82270,138198,220468
82260,138247,220507
82249,137721,219970
82299,138273,220572
82268,138281,220549
82198,137949,220147
82225,138186,220411
82198,137988,220186
82167,138156,220323
