evocg_cg_history,evocg_hd_history,evocg_hdcg_history
77146,138274,215420
77059,138248,215307
77196,138882,216078
77298,138548,215846
77207,138774,215981
77179,138240,215419
77045,138350,215395
77110,138467,215577
77152,138026,215178
77274,138450,215724
77189,137937,215126
77329,138459,215788
77273,138604,215877
77199,138309,215508
77309,138697,216006
77227,138431,215658
77162,138707,215869
77282,138252,215534
77376,138626,216002
77201,138186,215387
77352,138021,215373
77424,138978,216402
77164,138094,215258
77206,138165,215371
77279,138235,215514
77258,138718,215976
77140,138171,215311
77208,138990,216198
77270,138631,215901
77269,138717,215986
77271,138639,215910
77083,138000,215083
77125,138434,215559
77242,138776,216018
77173,138556,215729
77183,138345,215528
77077,138128,215205
77248,137971,215219
77204,138622,215826
77262,138520,215782
77057,138013,215070
77343,138554,215897
77227,138289,215516
77261,138585,215846
77127,137878,215005
77293,138970,216263
77398,138574,215972
77509,139241,216750
77530,139208,216738
77433,139283,216716
77470,139336,216806
77574,139159,216733
77522,139297,216819
77614,139328,216942
77514,138993,216507
77656,139580,217236
77524,139052,216576
77603,139155,216758
77625,139781,217406
77668,139576,217244
77689,139106,216795
77637,139551,217188
77645,139211,216856
77627,139321,216948
77538,139240,216778
77631,139353,216984
77660,139283,216943
77786,139699,217485
77703,139337,217040
77576,139424,217000
77614,139245,216859
77635,139445,217080
77783,139367,217150
77574,139341,216915
77658,139252,216910
77757,139568,217325
77642,139489,217131
77683,139358,217041
77573,139099,216672
77666,139288,216954
77597,139175,216772
78905,138723,217628
80006,140992,220998
80030,141061,221091
80298,140895,221193
80032,140851,220883
79938,140894,220832
80201,140967,221168
80192,141048,221240
80373,140913,221286
80241,140949,221190
80282,140754,221036
80337,140868,221205
80322,140931,221253
80282,140901,221183
80320,140945,221265
80306,140780,221086
80304,140762,221066
80279,140664,220943
80326,141133,221459
