evocg_cg_history,evocg_hd_history,evocg_hdcg_history
73519,131879,205398
75507,135184,210691
75260,135324,210584
75677,135925,211602
75748,136030,211778
75432,136070,211502
75484,135512,210996
75583,135721,211304
75385,135573,210958
75082,134982,210064
78162,142757,220919
78025,143020,221045
78135,143006,221141
77928,142988,220916
78109,142978,221087
78081,143048,221129
78177,143194,221371
78006,142977,220983
78075,142935,221010
78099,143163,221262
78166,142855,221021
78167,142991,221158
78073,143046,221119
77997,142766,220763
78009,142849,220858
78056,142906,220962
78035,142931,220966
78008,142909,220917
78106,142908,221014
78153,143076,221229
78042,143009,221051
77976,142871,220847
78112,142782,220894
78191,142844,221035
78090,142721,220811
78143,143031,221174
78130,143015,221145
78199,142736,220935
78109,142646,220755
78160,142850,221010
78149,143002,221151
78274,142759,221033
78129,142567,220696
78149,142943,221092
78181,142714,220895
78138,142776,220914
78174,142725,220899
78133,142811,220944
78218,142650,220868
78084,142744,220828
78280,142967,221247
78294,142852,221146
78175,142664,220839
78271,142793,221064
78098,142740,220838
78071,142453,220524
78318,142833,221151
78127,142803,220930
78223,142678,220901
78182,142726,220908
78191,142884,221075
78053,142739,220792
78238,142737,220975
78171,142947,221118
78137,142781,220918
78166,142709,220875
78217,142874,221091
78109,142820,220929
78224,142703,220927
78109,142860,220969
78193,142767,220960
78199,142863,221062
78158,142768,220926
78150,142764,220914
78088,142777,220865
78204,142949,221153
78147,142879,221026
78232,142738,220970
78226,142735,220961
78147,142779,220926
78146,143026,221172
78172,142768,220940
78362,142884,221246
78190,142790,220980
78215,142906,221121
78177,142915,221092
78216,142911,221127
78178,142729,220907
78169,142905,221074
78178,142765,220943
78284,142883,221167
78141,142914,221055
78190,142619,220809
78248,142846,221094
78092,142787,220879
78186,142829,221015
78172,142841,221013
78169,142834,221003
78234,142786,221020
78314,133517,211831
