evocg_cg_history,evocg_hd_history,evocg_hdcg_history
81866,137021,218887
81854,137189,219043
81890,137418,219308
81945,137293,219238
81814,137162,218976
81848,137283,219131
81835,137148,218983
81838,137345,219183
81843,137182,219025
81821,137144,218965
81921,137271,219192
81966,137338,219304
82112,137693,219805
82182,137422,219604
82149,137423,219572
82002,137452,219454
82095,137201,219296
82193,137676,219869
82187,137504,219691
82215,137344,219559
82206,137404,219610
82151,137401,219552
82137,137588,219725
82140,137716,219856
82193,137237,219430
82372,137414,219786
82065,137203,219268
82084,137360,219444
82305,137346,219651
82266,137558,219824
82147,137335,219482
82268,137505,219773
82349,139545,221894
82258,139690,221948
82330,139873,222203
82321,139559,221880
82314,137423,219737
82181,137401,219582
82108,137238,219346
82209,137784,219993
82134,137587,219721
82235,137496,219731
82247,137421,219668
82203,137689,219892
82040,137475,219515
82254,137552,219806
82237,137609,219846
82220,137499,219719
82284,137568,219852
82243,137588,219831
82072,137667,219739
82166,137405,219571
82245,137545,219790
82165,137319,219484
82231,137446,219677
82184,137451,219635
82151,137783,219934
82157,137623,219780
82162,137368,219530
82232,137765,219997
82044,137529,219573
82211,137478,219689
82184,137642,219826
82098,137258,219356
82251,137619,219870
82247,137493,219740
82152,137945,220097
82139,137529,219668
82297,137525,219822
82093,137444,219537
82074,137468,219542
82100,137643,219743
82001,139042,221043
82270,139032,221302
82265,138914,221179
82221,138983,221204
82098,137595,219693
82171,139129,221300
82187,138918,221105
82314,138956,221270
82213,138989,221202
82179,139191,221370
82186,138884,221070
82310,138757,221067
82305,138788,221093
82340,139001,221341
82299,138979,221278
82302,138828,221130
82205,138987,221192
82123,138869,220992
82289,138876,221165
82301,138922,221223
82276,138939,221215
82336,139084,221420
82303,139041,221344
82315,138901,221216
82291,139007,221298
82199,140018,222217
82233,138950,221183
82095,139039,221134
